Your Current Country.,Your Current Zip Code / Pin Code,Your Gender,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,How likely is that you will work for one employer for 3 years or more ?,Would you work for a company whose mission is not clearly defined and publicly posted.,How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,How likely would you work for a company whose mission is not bringing social impact ?,What is the most preferred working environment for you.,Which of the below Employers would you work with.,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job ?,What type of Manager would you work without looking into your watch ?,Which of the following setup you would like to work ?
India,751010,Male,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will work for them,3,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Build and develop a Team, Work in a BPO setup for some well known client","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
Germany,81827,Male,People who have changed the world for better,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Look deeply into Data and generate insights, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who clearly describes what she/he needs,"Work alone, Work with 2 to 3 people in my team"
India,121003,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,101201,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,605401,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will NOT work for them,7,Hybrid Working Environment with less than 10 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,"Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,753003,Male,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Hybrid Working Environment with less than 15 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Business Operations in any organization, Manage and drive End-to-End Projects or Products",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,416509,Male,Social Media like LinkedIn,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid Working Environment with less than 15 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Build and develop a Team, Work as a freelancer and do my thing my way",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,400099,Male,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid Working Environment with less than 3 days a month at office,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Business Operations in any organization, Design and Develop amazing software, Look deeply into Data and generate insights",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,301001,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,302017,Male,My Parents,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,Yes,Will NOT work for them,5,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Business Operations in any organization","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,560096,Female,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Work as a freelancer and do my thing my way",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,431005,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will work for them,1,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Build and develop a Team, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,620005,Male,"People from my circle, but not family members",No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,3,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,786001,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Manage and drive End-to-End Projects or Products",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,422010,Female,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,2,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,110044,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,700156,Male,"People from my circle, but not family members",No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,7,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Look deeply into Data and generate insights, Work in a BPO setup for some well known client","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,824003,Male,"People from my circle, but not family members","Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,9,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Business Operations in any organization, Build and develop a Team, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,410505,Male,Social Media like LinkedIn,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,3,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Design and Develop amazing software",Manager who clearly describes what she/he needs,Work alone
India,151110,Female,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,10,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,410206,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Business Operations in any organization","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,721445,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will work for them,7,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,251309,Female,Social Media like LinkedIn,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,713216,Female,My Parents,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,6,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Business Operations in any organization, Manage and drive End-to-End Projects or Products","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,670102,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,2,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,251309,Female,Social Media like LinkedIn,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Teaching in any of the institutes/online or Offline, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team"
India,721302,Male,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,3,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,382421,Female,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Become a content Creator in some platform",Manager who clearly describes what she/he needs,"Work alone, Work with more than 10 people in my team"
India,600016,Male,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,Yes,Will work for them,3,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team",Manager who sets targets and expects me to achieve it,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team"
India,560037,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,122011,Male,Social Media like LinkedIn,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,123106,Female,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Design and Develop amazing software, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,121001,Female,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,5,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
India,363310,Male,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,9,Hybrid Working Environment with less than 15 days a month at office,Employer who pushes your limits and doesn't enables learning environment and never rewards you,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,382010,Female,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Build and develop a Team, Become a content Creator in some platform",Manager who sets targets and expects me to achieve it,Work with 2 to 3 people in my team
India,394210,Male,My Parents,No I would not be pursuing Higher Education outside of India,"No way, 3 years with one employer is crazy",No,Will NOT work for them,6,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Look deeply into Data and generate insights, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,382024,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will work for them,4,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Build and develop a Team, Design and Develop amazing software",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,721101,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","No way, 3 years with one employer is crazy",No,Will NOT work for them,9,Hybrid Working Environment with less than 15 days a month at office,Employers who appreciates learning but doesn't enables an learning environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Develop amazing software, Look deeply into Data and generate insights, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work with more than 10 people in my team
India,503175,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,5,Fully Remote with No option to visit offices,Employer who pushes your limits and doesn't enables learning environment and never rewards you,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Work as a freelancer and do my thing my way",Manager who sets targets and expects me to achieve it,Work alone
India,533103,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,8,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Develop amazing software, Work as a freelancer and do my thing my way, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,382042,Female,"People from my circle, but not family members","No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,1,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Build and develop a Team, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,600036,Female,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,605110,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,6,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,800009,Female,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Business Operations in any organization, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,248002,Female,People who have changed the world for better,"No, But if someone could bare the cost I will","No way, 3 years with one employer is crazy",No,Will work for them,4,Hybrid Working Environment with less than 3 days a month at office,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Business Operations in any organization, Build and develop a Team",Manager who sets goal and helps me achieve it,"Work with 2 to 3 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,845438,Female,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Every Day Office Environment,Employers who appreciates learning but doesn't enables an learning environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Business Operations in any organization, Build and develop a Team",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,800006,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,6,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Build and develop a Team, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,800024,Male,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,248002,Female,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,7,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Work in a BPO setup for some well known client","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,502285,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,8,Every Day Office Environment,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Design and Develop amazing software, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,123106,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,3,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,365541,Female,Social Media like LinkedIn,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work alone
India,425001,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Hybrid Working Environment with less than 15 days a month at office,Employer who rewards learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team",Manager who sets targets and expects me to achieve it,Work with 7 to 10 or more people in my team
India,425001,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,3,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Business Operations in any organization, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,Work alone
India,424206,Male,My Parents,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,7,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Build and develop a Team, Design and Develop amazing software","Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
India,122004,Male,Social Media like LinkedIn,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,3,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Manage and drive End-to-End Projects or Products, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,246701,Female,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,412308,Male,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,1,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team",Manager who sets goal and helps me achieve it,Work with more than 10 people in my team
India,248001,Female,Social Media like LinkedIn,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will work for them,5,Hybrid Working Environment with less than 10 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Design and Develop amazing software, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,500001,Female,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,3,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Work as a freelancer and do my thing my way",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,670504,Female,"People from my circle, but not family members","Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,1,Hybrid Working Environment with less than 15 days a month at office,Employer who rewards learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,301018,Female,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,8,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,680307,Female,People who have changed the world for better,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,607102,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,6,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights",Manager who sets unrealistic targets,Work with 5 to 6 people in my team
India,605110,Male,Social Media like LinkedIn,"Yes, I will earn and do that","No way, 3 years with one employer is crazy",Yes,Will work for them,5,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Work as a freelancer and do my thing my way, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it",Work alone
